"Plant.Name"	"plant.id"	"plant_code"	"RPS.ID"	"ARB.ID"	"Unit"	"Start.Date"	"Retired.Unit"	"Retire.Date"	"CA.ISO.Resource.ID"	"CA.ISO.Generating.Unit.Name"	"Company.Owner.Name"	"City"	"County"	"State"
"Long Beach Generation LLC"	"G0319"	341	""	NA	"CT 5"	"5/1/1977"	TRUE	"12/31/2004"	""	""	"Long Beach Generation LLC"	"Long Beach"	"Los Angeles"	"CA"
"Long Beach Generation LLC"	"G0319"	341	""	NA	"CT 6"	"5/1/1977"	TRUE	"12/31/2004"	""	""	"Long Beach Generation LLC"	"Long Beach"	"Los Angeles"	"CA"
"Long Beach Generation LLC"	"G0319"	341	""	NA	"CT 7"	"5/1/1977"	TRUE	"12/31/2004"	""	""	"Long Beach Generation LLC"	"Long Beach"	"Los Angeles"	"CA"
"Long Beach Generation LLC"	"G0319"	341	""	NA	"GT 1"	"8/1/2007"	FALSE	""	"HINSON_6_LBECH1"	"Long Beach - Unit 1"	"Long Beach Generation LLC"	"Long Beach"	"Los Angeles"	"CA"
"Long Beach Generation LLC"	"G0319"	341	""	NA	"GT 2"	"8/1/2007"	FALSE	""	"HINSON_6_LBECH2"	"Long Beach - Unit 2"	"Long Beach Generation LLC"	"Long Beach"	"Los Angeles"	"CA"
"Long Beach Generation LLC"	"G0319"	341	""	NA	"GT 3"	"8/1/2007"	FALSE	""	"HINSON_6_LBECH3"	"Long Beach - Unit 3"	"Long Beach Generation LLC"	"Long Beach"	"Los Angeles"	"CA"
"Long Beach Generation LLC"	"G0319"	341	""	NA	"GT 4"	"8/1/2007"	FALSE	""	"HINSON_6_LBECH4"	"Long Beach - Unit 4"	"Long Beach Generation LLC"	"Long Beach"	"Los Angeles"	"CA"
"Long Beach Generation LLC"	"G0319"	341	""	NA	"ST 8"	"5/1/1977"	TRUE	"12/31/2004"	""	""	"Long Beach Generation LLC"	"Long Beach"	"Los Angeles"	"CA"
"Long Beach Generation LLC"	"G0319"	341	""	NA	"ST 9"	"5/1/1977"	TRUE	"12/31/2004"	""	""	"Long Beach Generation LLC"	"Long Beach"	"Los Angeles"	"CA"
"Magnolia"	"G0329"	56046	""	104077	"4-5"	"9/1/1953"	TRUE	"12/31/2003"	""	""	"Burbank Water and Power"	"Burbank"	"Los Angeles"	"CA"
"Magnolia"	"G0329"	56046	"61347F"	104077	"GT"	"9/22/2005"	FALSE	""	""	""	"Burbank Water and Power"	"Burbank"	"Los Angeles"	"CA"
"Magnolia"	"G0329"	56046	"61347F"	104077	"ST"	"9/22/2005"	FALSE	""	""	""	"Burbank Water and Power"	"Burbank"	"Los Angeles"	"CA"
"Mandalay Generating Station"	"G0330"	345	""	100210	"UNIT 1"	"5/1/1959"	FALSE	""	"MNDALY_7_UNIT 1"	"Mandalay 1"	"NRG California South"	"Oxnard"	"Ventura"	"CA"
"Mandalay Generating Station"	"G0330"	345	""	100210	"UNIT 2"	"8/1/1959"	FALSE	""	"MNDALY_7_UNIT 2"	"Mandalay 2"	"NRG California South"	"Oxnard"	"Ventura"	"CA"
"Mandalay Generating Station"	"G0330"	345	""	100210	"UNIT 3"	"4/1/1970"	FALSE	""	"MNDALY_7_UNIT 3"	"Mandalay 3 GT"	"NRG California South"	"Oxnard"	"Ventura"	"CA"
"McClellan"	"G0335"	535	""	NA	"1"	"3/1/1986"	FALSE	""	""	""	"Sacramento Municipal Utility District (SMUD)"	"Sacramento"	"Sacramento"	"CA"
"McClure"	"G0336"	151	""	NA	"1"	"7/1/1980"	FALSE	""	""	""	"Modesto Irrigation District"	"Modesto"	"Stanislaus"	"CA"
"McClure"	"G0336"	151	""	NA	"2"	"7/1/1981"	FALSE	""	""	""	"Modesto Irrigation District"	"Modesto"	"Stanislaus"	"CA"
"McKittrick Cogen"	"G0339"	50612	""	100296	"LM5000"	"11/1/1991"	FALSE	""	"MKTRCK_1_UNIT 1"	"MCKITTRICK LIMITED"	"McKittrick Ltd"	"McKittrick"	"Kern"	"CA"
"Mid-Set Cogeneration"	"G0355"	10501	""	101515	"K100"	"5/19/1989"	FALSE	""	"MIDSET_1_UNIT 1"	"MIDSET COGENERATION"	"Mid-Set Cogeneration Co"	"Taft"	"Kern"	"CA"
"MMC Mid-Sun  LLC (Dismantled 4/1/2009)"	"G0357"	56508	""	NA	"1"	"1/26/2007"	TRUE	"4/1/2009"	"MIDSUN_1_PL1X2"	""	"MMC Energy Inc"	"Fellows"	"Kern"	"CA"
"Midway-Sunset Cogeneration"	"G0358"	52169	""	100215	"A"	"5/8/1989"	FALSE	""	"SUNSET_2_UNIT A"	"MIDWAY-SUNSET COGEN CT UNIT A"	"Midway Sunset Cogeneration Co"	"Fellows"	"Kern"	"CA"
"Midway-Sunset Cogeneration"	"G0358"	52169	""	100215	"B"	"5/8/1989"	FALSE	""	"SUNSET_2_UNIT B"	"MIDWAY-SUNSET COGEN CT UNIT B"	"Midway Sunset Cogeneration Co"	"Fellows"	"Kern"	"CA"
"Midway-Sunset Cogeneration"	"G0358"	52169	""	100215	"C"	"5/8/1989"	FALSE	""	"SUNSET_2_UNIT C"	"MIDWAY-SUNSET COGEN CT UNIT C"	"Midway Sunset Cogeneration Co"	"Fellows"	"Kern"	"CA"
"San Diego Combustion Turbines - Miramar 1A 1B"	"G0360"	305	""	100270	"Unit 1A"	"5/15/1972"	FALSE	""	"MRGT_7_MR1A"	"Miramar GT 1A"	"Cabrillo Power II LLC (NRG West Coast Inc)"	"San Diego"	"San Diego"	"CA"
"San Diego Combustion Turbines - Miramar 1A 1B"	"G0360"	305	""	100270	"Unit 1B"	"5/15/1972"	FALSE	""	"MRGT_7_MR1B"	"Miramar GT 1B"	"Cabrillo Power II LLC (NRG West Coast Inc)"	"San Diego"	"San Diego"	"CA"
"ExxonMobil Torrance Refinery"	"G0363"	50624	""	100217	"EXP1"	"9/1/1983"	FALSE	""	""	""	"ExxonMobil Oil Corporation"	"Torrance"	"Los Angeles"	"CA"
"ExxonMobil Torrance Refinery"	"G0363"	50624	""	100217	"GTG1"	"11/1/1988"	FALSE	""	""	""	"ExxonMobil Oil Corporation"	"Torrance"	"Los Angeles"	"CA"
"ExxonMobil Torrance Refinery"	"G0363"	50624	""	100217	"STG1"	"11/1/1988"	FALSE	""	""	""	"ExxonMobil Oil Corporation"	"Torrance"	"Los Angeles"	"CA"
"ExxonMobil Torrance Refinery"	"G0363"	50624	""	100217	"Unit 1"	"11/1/1989"	FALSE	""	""	""	"ExxonMobil Oil Corporation"	"Torrance"	"Los Angeles"	"CA"
"Lake Shore Mojave  LLC (Retired 8/2013)"	"G0366"	10850	""	100218	"Unit 1"	"6/12/1990"	TRUE	"8/5/2013"	"HOLGAT_1_MOGEN"	"MOJAVE COGENERATION COMPANY"	"Energy Operations Group"	"Boron"	"Kern"	"CA"
"Berry Cogen Midway-Sunset 18MW"	"G0368"	50622	""	NA	"1"	"12/1/1986"	FALSE	""	"TANHIL_6_SOLART"	"BERRY PETROLEUM COGEN 18"	"Linn Operating Company (Berry Petroleum LLC)"	"Maricopa"	"Kern"	"CA"
"Berry Cogen Midway-Sunset 18MW"	"G0368"	50622	""	NA	"2"	"12/1/1986"	FALSE	""	"TANHIL_6_SOLART"	"BERRY PETROLEUM COGEN 18"	"Linn Operating Company (Berry Petroleum LLC)"	"Maricopa"	"Kern"	"CA"
"Berry Cogen Midway-Sunset 18MW"	"G0368"	50622	""	NA	"Cogen 42"	"12/1/1986"	FALSE	""	"TANHIL_6_SOLART"	"BERRY PETROLEUM COGEN 18"	"Linn Operating Company (Berry Petroleum LLC)"	"Maricopa"	"Kern"	"CA"
"Morro Bay Power Plant (Retired Feb 05 2014)"	"G0371"	259	""	101341	"1"	"7/1/1956"	TRUE	"2/5/2014"	"MORBAY_7_UNIT 1"	""	"LSP Morro Bay LLC"	"Morro Bay"	"San Luis Obispo"	"CA"
"Morro Bay Power Plant (Retired Feb 05 2014)"	"G0371"	259	""	101341	"2"	"10/10/1955"	TRUE	"2/5/2014"	"MORBAY_7_UNIT 2"	""	"LSP Morro Bay LLC"	"Morro Bay"	"San Luis Obispo"	"CA"
"Morro Bay Power Plant (Retired Feb 05 2014)"	"G0371"	259	""	101341	"3"	"12/27/1962"	TRUE	"2/5/2014"	"MORBAY_7_UNIT 3"	""	"LSP Morro Bay LLC"	"Morro Bay"	"San Luis Obispo"	"CA"
"Morro Bay Power Plant (Retired Feb 05 2014)"	"G0371"	259	""	101341	"4"	"8/13/1963"	TRUE	"2/5/2014"	"MORBAY_7_UNIT 4"	""	"LSP Morro Bay LLC"	"Morro Bay"	"San Luis Obispo"	"CA"
"Moss Landing Power Plant"	"G0372"	260	""	100221	"6"	"12/10/1967"	FALSE	""	"MOSSLD_7_UNIT 6"	"Moss Landing 6"	"Duke Energy Moss Landing & Oakland LLC"	"Moss Landing"	"Monterey"	"CA"
"Moss Landing Power Plant"	"G0372"	260	""	100221	"7"	"8/16/1968"	FALSE	""	"MOSSLD_7_UNIT 7"	"Moss Landing 7"	"Duke Energy Moss Landing & Oakland LLC"	"Moss Landing"	"Monterey"	"CA"
"Moss Landing Power Plant"	"G0372"	260	""	100221	"CC1"	"7/1/2002"	FALSE	""	"MOSSLD_2_PSP1"	"Moss Landing CC Plant 1 (Aggregate)"	"Duke Energy Moss Landing & Oakland LLC"	"Moss Landing"	"Monterey"	"CA"
"Moss Landing Power Plant"	"G0372"	260	""	100221	"CC2"	"7/12/2002"	FALSE	""	"MOSSLD_2_PSP2"	"Moss Landing CC Plant 2 (Aggregate)"	"Duke Energy Moss Landing & Oakland LLC"	"Moss Landing"	"Monterey"	"CA"
"Mule Creek State Prison"	"G0378"	NA	""	NA	"1"	"1/1/1989"	TRUE	"1/26/2016"	""	""	"Mule Creek State Prison"	"Ione"	"Amador"	"CA"
"Mule Creek State Prison"	"G0378"	NA	""	NA	"2"	"1/1/1989"	TRUE	"1/26/2016"	""	""	"Mule Creek State Prison"	"Ione"	"Amador"	"CA"
"Alameda"	"G0379"	7450	""	NA	"1"	"5/1/1986"	FALSE	""	"ALMEGT_1_UNIT 1"	"Alameda GT Unit 1"	"Northern California Power Agency"	"Alameda"	"Alameda"	"CA"
"Alameda"	"G0379"	7450	""	NA	"2"	"5/1/1986"	FALSE	""	"ALMEGT_1_UNIT 2"	"Alameda GT Unit 2"	"Northern California Power Agency"	"Alameda"	"Alameda"	"CA"
"Lodi"	"G0380"	7451	""	NA	"1"	"2/1/1986"	FALSE	""	"LODI25_2_UNIT 1"	"LODI GAS TURBINE"	"Northern California Power Agency"	"Lodi"	"San Joaquin"	"CA"
"Lodi CC (NCPA STIG)"	"G0381"	7449	""	NA	"1"	"4/1/1996"	FALSE	""	"STIGCT_2_LODI"	"Lodi Steam Injected Gas Turbine"	"Northern California Power Agency"	"Lodi"	"San Joaquin"	"CA"
"Roseville"	"G0382"	7452	""	NA	"1"	"4/1/1986"	FALSE	""	""	""	"City of Roseville"	"Rocklin"	"Placer"	"CA"
"Roseville"	"G0382"	7452	""	NA	"2"	"5/1/1986"	FALSE	""	""	""	"City of Roseville"	"Rocklin"	"Placer"	"CA"
"Fresno Cogeneration Partners  LP"	"G0384"	10156	""	101544	"UNIT 1"	"12/1/1989"	TRUE	"11/30/2004"	"AGRICO_7_ICE5"	"FRESNO PEAKER PLANT ICE UNIT"	"Fresno Cogeneration Partners"	"San Joaquin"	"Fresno"	"CA"
"Fresno Cogeneration Partners  LP"	"G0384"	10156	""	101544	"UNIT 2"	"12/1/1989"	FALSE	""	"AGRICO_7_UNIT 2"	"Fresno Cogen STG Unit 2"	"Fresno Cogeneration Partners"	"San Joaquin"	"Fresno"	"CA"
"Fresno Cogeneration Partners  LP"	"G0384"	10156	""	101544	"UNIT 4"	"1/14/2005"	FALSE	""	"AGRICO_7_UNIT 4"	"FRESNO COGEN CTG UNIT 4"	"Fresno Cogeneration Partners"	"San Joaquin"	"Fresno"	"CA"
"Naval Training Center - Retired December 2003"	"G0385"	6707	""	NA	"Unit 1"	"9/21/1968"	TRUE	"12/31/2003"	""	""	"Cabrillo Power II LLC (NRG West Coast Inc)"	"San Diego"	"San Diego"	"CA"
"NTC MCRD Energy Facility"	"G0386"	10810	""	100229	"GEN 1"	"5/1/1989"	FALSE	""	"PTLOMA_6_NTCQF"	"NTC/MCRD COGENERATION"	"Applied Energy LLC"	"San Diego"	"San Diego"	"CA"
"NTC MCRD Energy Facility"	"G0386"	10810	""	100229	"GEN 2"	"5/1/1989"	FALSE	""	"PTLOMA_6_NTCQF"	"NTC/MCRD COGENERATION"	"Applied Energy LLC"	"San Diego"	"San Diego"	"CA"
"Naval Hospital Medical Center"	"G0388"	50963	""	104035	"1TG"	"12/1/2003"	FALSE	""	"URBAN_6_NMED1"	""	"Navy Public Works"	"San Diego"	"San Diego"	"CA"
"Naval Hospital Medical Center"	"G0388"	50963	""	104035	"1TG_OLD"	"9/1/1986"	TRUE	"3/16/2003"	"URBAN_6_NMED1"	""	"Navy Public Works"	"San Diego"	"San Diego"	"CA"
"Naval Hospital Medical Center"	"G0388"	50963	""	104035	"2TG"	"9/1/1986"	TRUE	"3/31/2003"	"URBAN_6_NMED1"	""	"Navy Public Works"	"San Diego"	"San Diego"	"CA"
"Naval Hospital Medical Center"	"G0388"	50963	""	104035	"3TG"	"9/1/1986"	TRUE	"3/31/2003"	"URBAN_6_NMED1"	""	"Navy Public Works"	"San Diego"	"San Diego"	"CA"
"Naval Hospital Medical Center"	"G0388"	50963	""	104035	"4TG"	"9/1/1986"	FALSE	""	"URBAN_6_NMED1"	""	"Navy Public Works"	"San Diego"	"San Diego"	"CA"
"Naval Station - Retired December 2003"	"G0389"	306	""	NA	"Unit 1"	"9/1/1976"	TRUE	"12/31/2003"	""	""	"Cabrillo Power II LLC (NRG West Coast Inc)"	"San Diego"	"San Diego"	"CA"
"Westend Facility"	"G0396"	10685	""	NA	"PINA"	"6/1/1968"	FALSE	""	"SEARLS_7_WESTEN"	""	"Searles Valley Minerals"	"Trona"	"San Bernardino"	"CA"
"North Island - Retired December 2003"	"G0398"	307	""	NA	"Unit 1"	"6/2/1972"	FALSE	""	"NIMTG_6_NIQF"	"NORTH ISLAND COGENERATION"	"Cabrillo Power II LLC (NRG West Coast Inc)"	"Coronado"	"San Diego"	"CA"
"North Island - Retired December 2003"	"G0398"	307	""	NA	"Unit 2"	"6/2/1972"	TRUE	"12/31/2003"	"NIMTG_6_NIQF"	"NORTH ISLAND COGENERATION"	"Cabrillo Power II LLC (NRG West Coast Inc)"	"Coronado"	"San Diego"	"CA"
"North Island Energy Facility"	"G0399"	10812	""	NA	"GEN 1"	"6/1/1989"	FALSE	""	"NIMTG_6_NIQF"	"NORTH ISLAND COGENERATION"	"Applied Energy LLC"	"Coronado"	"San Diego"	"CA"
"North Island Energy Facility"	"G0399"	10812	""	NA	"GEN 2"	"6/1/1989"	FALSE	""	"NIMTG_6_NICOGN"	"NORTH ISLAND STEAM TURBINE"	"Applied Energy LLC"	"Coronado"	"San Diego"	"CA"
"CI Power Cogeneration Plant (OLS Camarillo)"	"G0403"	50851	""	NA	"Unit GTG"	"4/1/1987"	FALSE	""	"MOORPK_6_QF"	"MOORE PARK AREA LUMPED UNITS"	"U S Trust Co of California"	"Camarillo"	"Ventura"	"CA"
"CI Power Cogeneration Plant (OLS Camarillo)"	"G0403"	50851	""	NA	"Unit STG"	"4/1/1987"	FALSE	""	"MOORPK_6_QF"	"MOORE PARK AREA LUMPED UNITS"	"U S Trust Co of California"	"Camarillo"	"Ventura"	"CA"
"OLS Energy Chino"	"G0404"	50850	""	NA	"GEN 1"	"3/1/1988"	FALSE	""	"CHINO_6_CIMGEN"	"O.L.S. ENERGY COMPANY- CHINO-MENS INST."	"OLS Energy Chino"	"Chino"	"San Bernardino"	"CA"
"OLS Energy Chino"	"G0404"	50850	""	NA	"GEN 2"	"3/1/1988"	FALSE	""	"CHINO_6_CIMGEN"	"O.L.S. ENERGY COMPANY- CHINO-MENS INST."	"OLS Energy Chino"	"Chino"	"San Bernardino"	"CA"
"PE Berkeley Inc"	"G0405"	50849	""	101240	"GEN1"	"6/1/1987"	FALSE	""	"GRZZLY_1_BERKLY"	"PE - BERKELEY, INC."	"PE-Berkeley Inc c/o Olympus Power LLC"	"Berkeley"	"Alameda"	"CA"
"PE Berkeley Inc"	"G0405"	50849	""	101240	"GEN2"	"6/1/1987"	FALSE	""	"GRZZLY_1_BERKLY"	"PE - BERKELEY, INC."	"PE-Berkeley Inc c/o Olympus Power LLC"	"Berkeley"	"Alameda"	"CA"
"Oakland Power Plant"	"G0406"	6211	""	101351	"1"	"1/1/1978"	FALSE	""	"OAK C_7_UNIT 1"	"Oakland GT #1"	"Duke Energy Oakland LLC"	"Oakland"	"Alameda"	"CA"
"Oakland Power Plant"	"G0406"	6211	""	101351	"2"	"1/1/1978"	FALSE	""	"OAK C_7_UNIT 2"	"Oakland GT #2"	"Duke Energy Oakland LLC"	"Oakland"	"Alameda"	"CA"
"Oakland Power Plant"	"G0406"	6211	""	101351	"3"	"1/1/1978"	FALSE	""	"OAK C_7_UNIT 3"	"Oakland GT #3"	"Duke Energy Oakland LLC"	"Oakland"	"Alameda"	"CA"
"Oildale"	"G0409"	54371	""	100891	"ODC1"	"6/7/1985"	FALSE	""	"OILDAL_1_UNIT 1"	"OILDALE ENERGY"	"Oildale Energy LLC"	"Bakersfield"	"Kern"	"CA"
"Olive"	"G0410"	6013	""	104077	"2"	"1/1/1964"	FALSE	""	""	""	"Burbank Water and Power"	"Burbank"	"Los Angeles"	"CA"
"Olive"	"G0410"	6013	""	104077	"Olive 1"	"1/1/1958"	FALSE	""	""	""	"Burbank Water and Power"	"Burbank"	"Los Angeles"	"CA"
"Olive"	"G0410"	6013	""	104077	"Olive 2"	"1/1/1964"	FALSE	""	""	""	"Burbank Water and Power"	"Burbank"	"Los Angeles"	"CA"
"Olive"	"G0410"	6013	""	104077	"Olive 3"	"1/1/1972"	TRUE	"1/1/2003"	""	""	"Burbank Water and Power"	"Burbank"	"Los Angeles"	"CA"
"Olive"	"G0410"	6013	""	104077	"Olive 4"	"1/1/1972"	TRUE	"1/1/2003"	""	""	"Burbank Water and Power"	"Burbank"	"Los Angeles"	"CA"
"Black Hills Ontario Facility -Retired February 2009"	"G0415"	50538	""	NA	"Unit 1"	"12/1/1984"	TRUE	"2/1/2009"	""	""	"Black Hills Energy Capital"	"Ontario"	"San Bernardino"	"CA"
"Black Hills Ontario Facility -Retired February 2009"	"G0415"	50538	""	NA	"Unit 2"	"12/1/1984"	TRUE	"2/1/2009"	""	""	"Black Hills Energy Capital"	"Ontario"	"San Bernardino"	"CA"
"Ormond Beach Generating Station"	"G0421"	350	""	101357	"UNIT 1"	"8/3/1971"	FALSE	""	"ORMOND_7_UNIT 1"	"Ormond Beach Unit 1"	"NRG California South"	"Oxnard"	"Ventura"	"CA"
"Ormond Beach Generating Station"	"G0421"	350	""	101357	"UNIT 2"	"3/5/1973"	FALSE	""	"ORMOND_7_UNIT 2"	"Ormond Beach Unit 2"	"NRG California South"	"Oxnard"	"Ventura"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"GEN1"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"GEN2"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"GEN3"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"GEN4"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"GEN5"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"GEN6"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"GEN7"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"UNIT 1"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"UNIT 2"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"UNIT 3"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"UNIT 4"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"UNIT 5"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"UNIT 6"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Oroville Cogeneration LP"	"G0424"	54477	""	NA	"UNIT 7"	"5/1/1990"	FALSE	""	"OROVIL_6_UNIT"	"OROVILLE COGEN"	"Oroville Cogeneration LP"	"Oroville"	"Butte"	"CA"
"Bear Mountain Cogen"	"G0428"	10649	""	100890	"LM5000"	"4/24/1995"	FALSE	""	"BEARMT_1_UNIT"	"BEAR MOUNTAIN LIMITED"	"Bear Mountain Limited"	"Bakersfield"	"Kern"	"CA"
"Chalk Cliff Cogen"	"G0429"	50003	""	101520	"LM5000"	"3/20/1990"	FALSE	""	"CHALK_1_UNIT"	"CHALK CLIFF LIMITED"	"Chalk Cliff Ltd"	"Maricopa"	"Kern"	"CA"
"Palomar Medical Center"	"G0434"	50319	""	NA	"EG 1"	"8/1/1986"	FALSE	""	""	""	"Palomar Memorial Hospital"	"Escondido"	"San Diego"	"CA"
"Palomar Medical Center"	"G0434"	50319	""	NA	"EG 2"	"8/1/1986"	FALSE	""	""	""	"Palomar Memorial Hospital"	"Escondido"	"San Diego"	"CA"
"Paper-Pak Industries (Shutdown Dec 2008)"	"G0437"	50428	""	NA	"GEN1"	"1/1/1984"	TRUE	"12/31/2008"	""	""	"Paper-Pak Industries"	"La Verne"	"Los Angeles"	"CA"
"Pittsburg Generating Station"	"G0450"	271	""	NA	"PPP1"	"1/1/1954"	TRUE	"10/1/2003"	"PITTSP_7_UNIT 1"	""	"NRG Delta LLC"	"Pittsburg"	"Contra Costa"	"CA"
"Pittsburg Generating Station"	"G0450"	271	""	NA	"PPP2"	"1/1/1954"	TRUE	"10/1/2003"	"PITTSP_7_UNIT 2"	""	"NRG Delta LLC"	"Pittsburg"	"Contra Costa"	"CA"
"Pittsburg Generating Station"	"G0450"	271	""	NA	"PPP3"	"1/1/1954"	TRUE	"10/1/2003"	"PITTSP_7_UNIT 3"	""	"NRG Delta LLC"	"Pittsburg"	"Contra Costa"	"CA"
"Pittsburg Generating Station"	"G0450"	271	""	NA	"PPP4"	"1/1/1954"	TRUE	"10/1/2003"	"PITTSP_7_UNIT 4"	""	"NRG Delta LLC"	"Pittsburg"	"Contra Costa"	"CA"
"Pittsburg Generating Station"	"G0450"	271	""	NA	"PPP5"	"1/1/1960"	FALSE	""	"PITTSP_7_UNIT 5"	"Pittsburg Unit 5"	"NRG Delta LLC"	"Pittsburg"	"Contra Costa"	"CA"
"Pittsburg Generating Station"	"G0450"	271	""	NA	"PPP6"	"1/1/1961"	FALSE	""	"PITTSP_7_UNIT 6"	"Pittsburg Unit 6"	"NRG Delta LLC"	"Pittsburg"	"Contra Costa"	"CA"
"Pittsburg Generating Station"	"G0450"	271	""	NA	"PPP7"	"1/1/1972"	FALSE	""	"PITTSP_7_UNIT 7"	"Pittsburg Unit 7"	"NRG Delta LLC"	"Pittsburg"	"Contra Costa"	"CA"
"Point Arguello Pipeline Co.(Gaviota)"	"G0453"	50623	""	NA	"GENA"	"12/1/1987"	FALSE	""	"GOLETA_6_GAVOTA"	"GAVIOTA OIL HEATING FACILITY"	"Point Arguello Pipeline Co"	"Goleta"	"Santa Barbara"	"CA"
"Point Arguello Pipeline Co.(Gaviota)"	"G0453"	50623	""	NA	"GENB"	"12/1/1987"	FALSE	""	"GOLETA_6_GAVOTA"	"GAVIOTA OIL HEATING FACILITY"	"Point Arguello Pipeline Co"	"Goleta"	"Santa Barbara"	"CA"
"Point Arguello Pipeline Co.(Gaviota)"	"G0453"	50623	""	NA	"GENC"	"12/1/1987"	FALSE	""	"GOLETA_6_GAVOTA"	"GAVIOTA OIL HEATING FACILITY"	"Point Arguello Pipeline Co"	"Goleta"	"Santa Barbara"	"CA"
"Point Arguello Pipeline Co.(Gaviota)"	"G0453"	50623	""	NA	"GEND"	"12/1/1987"	FALSE	""	"GOLETA_6_GAVOTA"	"GAVIOTA OIL HEATING FACILITY"	"Point Arguello Pipeline Co"	"Goleta"	"Santa Barbara"	"CA"
"Point Arguello Pipeline Co.(Gaviota)"	"G0453"	50623	""	NA	"GENE"	"12/1/1987"	FALSE	""	"GOLETA_6_GAVOTA"	"GAVIOTA OIL HEATING FACILITY"	"Point Arguello Pipeline Co"	"Goleta"	"Santa Barbara"	"CA"
"Portola - Retired December 2002"	"G0461"	6524	""	NA	"1"	"1/1/1965"	TRUE	"12/31/2002"	""	""	"Sierra Pacific Resources"	"Portola"	"Plumas"	"CA"
"Portola - Retired December 2002"	"G0461"	6524	""	NA	"2"	"1/1/1965"	TRUE	"12/31/2002"	""	""	"Sierra Pacific Resources"	"Portola"	"Plumas"	"CA"
"Portola - Retired December 2002"	"G0461"	6524	""	NA	"3"	"1/1/1965"	TRUE	"12/31/2002"	""	""	"Sierra Pacific Resources"	"Portola"	"Plumas"	"CA"
"Potrero Generating Station - Retired 2/28/2011"	"G0462"	273	""	NA	"POT3"	"1/1/1965"	TRUE	"2/28/2011"	"POTRPP_7_UNIT 3"	""	"NRG California South"	"San Francisco"	"San Francisco"	"CA"
"Potrero Generating Station - Retired 2/28/2011"	"G0462"	273	""	NA	"POT4"	"1/1/1976"	TRUE	"2/28/2011"	"POTRPP_7_UNIT 4"	""	"NRG California South"	"San Francisco"	"San Francisco"	"CA"
"Potrero Generating Station - Retired 2/28/2011"	"G0462"	273	""	NA	"POT5"	"1/1/1976"	TRUE	"2/28/2011"	"POTRPP_7_UNIT 5"	""	"NRG California South"	"San Francisco"	"San Francisco"	"CA"
"Potrero Generating Station - Retired 2/28/2011"	"G0462"	273	""	NA	"POT6"	"1/1/1976"	TRUE	"2/28/2011"	"POTRPP_7_UNIT 6"	""	"NRG California South"	"San Francisco"	"San Francisco"	"CA"
